time_slot,u,v,link_type,capacity_bits,visible
0,SAT_R80_0,London,SAT_GS,120000,1
0,SAT_R80_0,Frankfurt,SAT_GS,80000,1
0,SAT_R90_0,Graz,SAT_GS,90000,1
0,HAP_0,London,HAP_GS,200000,1
0,HAP_0,Frankfurt,HAP_GS,180000,1
0,HAP_1,Frankfurt,HAP_GS,120000,1
0,HAP_1,Graz,HAP_GS,150000,1
0,SAT_R80_0,HAP_0,SAT_HAP,50000,1
1,SAT_R80_0,London,SAT_GS,0,0
1,SAT_R80_0,Frankfurt,SAT_GS,70000,1
1,SAT_R90_0,Graz,SAT_GS,85000,1
1,HAP_0,London,HAP_GS,190000,1
1,HAP_0,Frankfurt,HAP_GS,170000,1
1,HAP_1,Frankfurt,HAP_GS,130000,1
1,HAP_1,Graz,HAP_GS,145000,1
1,SAT_R80_0,HAP_0,SAT_HAP,40000,1
2,SAT_R80_0,London,SAT_GS,110000,1
2,SAT_R80_0,Frankfurt,SAT_GS,0,0
2,SAT_R90_0,Graz,SAT_GS,90000,1
2,HAP_0,London,HAP_GS,195000,1
2,HAP_0,Frankfurt,HAP_GS,165000,1
2,HAP_1,Frankfurt,HAP_GS,125000,1
2,HAP_1,Graz,HAP_GS,155000,1
2,SAT_R80_0,HAP_0,SAT_HAP,50000,1
